img_id,expression,img_width,img_height,cx,cy,w,h
./data/images/581857.jpg,the lady with the blue shirt,427,640,103.93,299.99,134.22,177.42
./data/images/581839.jpg,middle standing up,466,640,170.75,91.57,84.05,245.41
./data/images/581789.jpg,woman under suitcase,640,423,39.33,95.92,287.75,309.81
./data/images/581766.jpg,left most toilet,500,375,19.47,149.62,108.35,134.59
./data/images/581739.jpg,right most vase,640,480,375.0,148.16,109.26,296.68
./data/images/581738.jpg,red bus on the left,640,427,15.21,165.15,174.69,125.93
./data/images/581719.jpg,the head just behind the girl on leftin the middle,500,357,72.95,221.86,139.11,135.14
./data/images/581686.jpg,bird on right,640,425,402.15,255.0,201.08,165.43
./data/images/581657.jpg,second laptop from front right center,480,640,220.04,207.1,257.44,185.53
./data/images/581629.jpg,man on left white hat,500,332,0.0,130.12,148.71,168.59
./data/images/581481.jpg,what are these foods thing on the right,640,514,377.27,25.47,232.95,483.61
./data/images/581466.jpg,leftmost animal edge of pic,640,478,2.06,166.53,93.54,266.24
./data/images/581446.jpg,female in white shorts and hat,640,427,172.44,150.55,169.7,276.45
./data/images/581425.jpg,man cut face,480,640,74.27,70.18,204.0,225.93
./data/images/581419.jpg,clock on bottom right,612,612,388.29,244.08,212.52,207.73
./data/images/581354.jpg,horse in front close up,640,424,79.33,228.36,560.36,195.64
./data/images/581258.jpg,main person in photo in tie,427,640,4.3,163.75,327.18,467.81
./data/images/581249.jpg,black and white kitty,480,640,227.5,68.44,252.5,147.8
./data/images/581227.jpg,far left player,500,333,42.46,120.08,83.44,212.92
./data/images/581199.jpg,click on the food in the foreground,640,480,0.0,327.91,640.0,146.7
./data/images/581198.jpg,top left corner of pic,640,425,0.0,0.96,127.98,223.48
./data/images/581196.jpg,train,640,427,57.44,97.65,499.77,292.01
./data/images/581136.jpg,right most chair kinda dark,640,495,509.0,215.86,131.0,157.08
./data/images/581108.jpg,motorcycle nearest to us,640,419,188.31,194.97,241.05,171.36
./data/images/581057.jpg,main bike,640,426,77.57,62.69,437.89,351.84
./data/images/581021.jpg,zebra closer to you,640,427,149.94,98.73,290.24,213.43
./data/images/581009.jpg,girl on skateboard,500,375,135.98,45.61,121.62,240.71
./data/images/580945.jpg,woman on the left white scard,640,427,95.64,115.77,139.28,214.48
./data/images/580919.jpg,person with backpackdont click the bag click the person,597,640,291.14,219.99,112.33,369.82
./data/images/580913.jpg,food towards right edge,640,427,464.61,237.97,175.39,183.63
./data/images/580851.jpg,the furthest toothbrush to the right,480,640,336.22,82.11,143.78,334.59
./data/images/580849.jpg,middle kid purple tie,640,429,184.97,0.0,277.46,422.31
./data/images/580843.jpg,lol right seat,640,426,402.84,0.81,237.16,425.19
./data/images/580837.jpg,far left partial person,640,480,0.0,141.43,79.23,338.57
./data/images/580741.jpg,brown sofa at right where two goofy kids are sitting,640,368,373.89,141.9,219.29,158.72
./data/images/580718.jpg,lower right hand corner of pic the piece of upside down broccoli,640,428,461.23,235.65,178.77,190.34
